FIN.TRANSACTION DATE,FIN.POSTING DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME,MCH.CITY NAME,FIN.ORIGINAL CURRENCY AMOUNT,FIN.ORIGINAL ISO CURRENCY CODE SYMBOL,FIN.INET CONVERSION
20/04/17,24/04/17,9.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.98,GBP,1.00
27/04/17,28/04/17,-11.99,AMZ AMAZON.CO.UK +44 2,AMAZON.CO.UK,-11.99,GBP,1.00
06/04/17,10/04/17,25.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,25.99,GBP,1.00
24/04/17,25/04/17,183.06,THE READING AGENCY,LONDON,183.06,GBP,1.00
04/04/17,05/04/17,438.00,WWW.,INTERNET,438.00,GBP,1.00
10/04/17,11/04/17,69.90,AMAZON UK MARKETPLACE,800-279-6620,69.90,GBP,1.00
10/04/17,11/04/17,29.99,AMAZON EU,AMAZON.CO.UK,29.99,GBP,1.00
11/04/17,12/04/17,336.00,WWW.,INTERNET,336.00,GBP,1.00
11/04/17,12/04/17,336.00,WWW.,INTERNET,336.00,GBP,1.00
11/04/17,12/04/17,329.40,WWW.ODONOVAN.CO.UK,LONDON,329.40,GBP,1.00
11/04/17,12/04/17,15.10,AMAZON UK MARKETPLACE,800-279-6620,15.10,GBP,1.00
11/04/17,12/04/17,5.99,AMAZON UK MARKETPLACE,800-279-6620,5.99,GBP,1.00
12/04/17,13/04/17,168.00,BR3620 JEWSON TOOL,HIGHGATE,168.00,GBP,1.00
12/04/17,13/04/17,52.00,A & Y LOCKSMITHS,LONDON,52.00,GBP,1.00
24/04/17,25/04/17,-26.88,BR3620 JEWSON TOOL,HIGHGATE,-26.88,GBP,1.00
04/04/17,05/04/17,93.65,TESCO STORE 2296,COLNEY HATCH,93.65,GBP,1.00
11/04/17,12/04/17,10.00,TFL OYST PHOTOCARD,0343 222 1234,10.00,GBP,1.00
08/04/17,10/04/17,17.44,BUILDER DEPOT LTD,LONDON  N11,17.44,GBP,1.00
08/04/17,10/04/17,12.89,WICKES,LONDON,12.89,GBP,1.00
08/04/17,10/04/17,121.89,WICKES,LONDON,121.89,GBP,1.00
07/04/17,10/04/17,26.65,SAINSBURYS 0513,NTH FINCHLEY,26.65,GBP,1.00
07/04/17,10/04/17,115.85,SAINSBURYS 0513,NTH FINCHLEY,115.85,GBP,1.00
11/04/17,12/04/17,21.30,B & Q 1067,LONDON,21.30,GBP,1.00
11/04/17,12/04/17,18.19,WICKES,LONDON,18.19,GBP,1.00
12/04/17,13/04/17,42.42,WICKES,LONDON,42.42,GBP,1.00
20/04/17,21/04/17,44.01,WICKES,LONDON,44.01,GBP,1.00
22/04/17,24/04/17,65.16,WICKES,LONDON,65.16,GBP,1.00
25/04/17,26/04/17,12.35,HOMEBASE LTD 024,LONDON  N11,12.35,GBP,1.00
25/04/17,26/04/17,74.72,BUILDER DEPOT N11,02084587700,74.72,GBP,1.00
04/04/17,05/04/17,35.00,TOP GOLF WATFORD,WATFORD,35.00,GBP,1.00
05/04/17,06/04/17,1.99,CO-OP GROUP FOOD,104320,1.99,GBP,1.00
04/04/17,06/04/17,16.00,TOP GOLF,WATFORD,16.00,GBP,1.00
09/04/17,10/04/17,81.62,H'VESTER ARNOS ARM,0208 3684456,81.62,GBP,1.00
07/04/17,10/04/17,7.30,TOP GOLF,WATFORD,7.30,GBP,1.00
07/04/17,10/04/17,48.00,TOP GOLF WATFORD,WATFORD,48.00,GBP,1.00
28/04/17,01/05/17,10.00,TFL OYST PHOTOCARD,0343 222 1234,10.00,GBP,1.00
12/04/17,13/04/17,24.42,AMAZON UK MARKETPLACE,800-279-6620,24.42,GBP,1.00
15/04/17,17/04/17,3.00,SAINSBURYS SACAT 4572,COLINDALE,3.00,GBP,1.00
28/04/17,01/05/17,159.90,BRILLIANT BINS,HUNGERFORD,159.90,GBP,1.00
13/04/17,14/04/17,300.00,SDS SEMINARS LIMITED,UCKFIELD,300.00,GBP,1.00
25/04/17,26/04/17,10.00,LUL TICKET MACHINE,FINCHLEY ROAD,10.00,GBP,1.00
28/04/17,01/05/17,24.00,DOMINO'S,WEMBLEY,24.00,GBP,1.00
20/04/17,21/04/17,5.29,AMAZON UK MARKETPLACE,800-279-6620,5.29,GBP,1.00
22/04/17,24/04/17,40.60,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,40.60,GBP,1.00
26/04/17,27/04/17,34.06,AMAZON UK MARKETPLACE,800-279-6620,34.06,GBP,1.00
27/04/17,01/05/17,92.99,PREMIER INN,COVENTRY,92.99,GBP,1.00
03/04/17,04/04/17,34.00,ASDA SUPERSTORE,S'GATE CIRCUS,34.00,GBP,1.00
03/04/17,04/04/17,139.64,TESCO STORES 6440,LONDON EN8,139.64,GBP,1.00
04/04/17,05/04/17,10.00,TFL OYST PHOTOCARD,0343 222 1234,10.00,GBP,1.00
05/04/17,06/04/17,100.00,JD SPORTS PLC,BR 710 ENFIEL,100.00,GBP,1.00
06/04/17,07/04/17,152.65,TESCO STORES 6440,LONDON EN8,152.65,GBP,1.00
10/04/17,11/04/17,57.60,UNIQUE OFFICE SOLU,ILFORD,57.60,GBP,1.00
10/04/17,11/04/17,-30.91,ASDA GEORGE COM LEEDS,LEEDS,-30.91,GBP,1.00
10/04/17,11/04/17,-176.25,YOUNGDRIVER,44844371901,-176.25,GBP,1.00
12/04/17,13/04/17,20.00,PABULUM CATERING,01252360565,20.00,GBP,1.00
13/04/17,14/04/17,100.00,JD SPORTS PLC,BR 710 ENFIEL,100.00,GBP,1.00
12/04/17,14/04/17,90.00,PARENTPAY E-COM R,BRIDGWATER,90.00,GBP,1.00
15/04/17,17/04/17,149.85,TESCO STORES 6440,LONDON EN8,149.85,GBP,1.00
17/04/17,18/04/17,66.30,MAKRO SELF SERVICE ENF,MIDDLESEX,66.30,GBP,1.00
18/04/17,19/04/17,27.00,SAINSBURYS 0420,WINCHMORE HIL,27.00,GBP,1.00
19/04/17,20/04/17,4.00,SAINSBURYS SACAT 0124,BARNET,4.00,GBP,1.00
20/04/17,21/04/17,10.00,TFL OYST PHOTOCARD,0343 222 1234,10.00,GBP,1.00
21/04/17,24/04/17,25.38,QUEEN ELIZABETHS GIRL,BARNET,25.38,GBP,1.00
21/04/17,24/04/17,77.79,WWW.CICSLIMITED.CO.UK,INTERNET,77.79,GBP,1.00
23/04/17,25/04/17,74.30,SKY SUBSCRIPTION,08442411653,74.30,GBP,1.00
25/04/17,27/04/17,60.00,PARENTPAY E-COM R,BRIDGWATER,60.00,GBP,1.00
27/04/17,28/04/17,144.71,TESCO STORES 6440,LONDON EN8,144.71,GBP,1.00
01/05/17,02/05/17,151.21,TESCO STORES 6440,LONDON EN8,151.21,GBP,1.00
02/05/17,03/05/17,10.00,PABULUM CATERING,01252360565,10.00,GBP,1.00
11/04/17,12/04/17,265.00,L.B BARNET PEST CO,LONDON  N11,265.00,GBP,1.00
12/04/17,13/04/17,39.00,TESCO STORES 6440,LONDON EN8,39.00,GBP,1.00
24/04/17,25/04/17,83.25,TESCO STORES 6440,LONDON EN8,83.25,GBP,1.00
05/04/17,06/04/17,89.98,AMAZON EU,AMAZON.CO.UK,89.98,GBP,1.00
06/04/17,10/04/17,13.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,13.98,GBP,1.00
10/04/17,11/04/17,8.05,TOOLSTATION LTD,NEW SOUTHGATE,8.05,GBP,1.00
10/04/17,11/04/17,62.06,TOOLSTATION LTD,NEW SOUTHGATE,62.06,GBP,1.00
20/04/17,21/04/17,327.34,SELCO TRADING CTR,NEW SOUTHGATE,327.34,GBP,1.00
27/04/17,28/04/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
29/04/17,01/05/17,33.99,AMAZON UK MARKETPLACE,800-279-6620,33.99,GBP,1.00
04/04/17,05/04/17,-199.99,AMZ SHARK UK,800-279-6620,-199.99,GBP,1.00
04/04/17,05/04/17,.50,L B BARNET PARKING,LONDON,.50,GBP,1.00
05/04/17,06/04/17,621.60,WWW.OFFICEFURNITUREONL,INTERNET,621.60,GBP,1.00
05/04/17,06/04/17,621.60,WWW.OFFICEFURNITUREONL,INTERNET,621.60,GBP,1.00
10/04/17,11/04/17,119.96,AMAZON UK MARKETPLACE,800-279-6620,119.96,GBP,1.00
10/04/17,11/04/17,13.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,13.99,GBP,1.00
12/04/17,12/04/17,24.52,AMAZON UK MARKETPLACE,800-279-6620,24.52,GBP,1.00
11/04/17,12/04/17,8.89,AMAZON EU,AMAZON.CO.UK,8.89,GBP,1.00
11/04/17,12/04/17,39.38,AMAZON UK MARKETPLACE,800-279-6620,39.38,GBP,1.00
11/04/17,12/04/17,11.49,AMAZON UK MARKETPLACE,800-279-6620,11.49,GBP,1.00
11/04/17,12/04/17,4.95,AMAZON UK MARKETPLACE,800-279-6620,4.95,GBP,1.00
11/04/17,12/04/17,746.40,WWW.OFFICEFURNITUREONL,INTERNET,746.40,GBP,1.00
11/04/17,12/04/17,4.99,AMAZON UK MARKETPLACE,800-279-6620,4.99,GBP,1.00
11/04/17,12/04/17,56.70,AMAZON UK MARKETPLACE,800-279-6620,56.70,GBP,1.00
12/04/17,13/04/17,119.98,AMAZON UK MARKETPLACE,800-279-6620,119.98,GBP,1.00
11/04/17,13/04/17,11.49,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,11.49,GBP,1.00
13/04/17,14/04/17,18.00,AMAZON EU,AMAZON.CO.UK,18.00,GBP,1.00
18/04/17,19/04/17,59.98,AMAZON UK MARKETPLACE,800-279-6620,59.98,GBP,1.00
25/04/17,27/04/17,14.99,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,14.99,GBP,1.00
01/05/17,02/05/17,86.38,AMAZON UK MARKETPLACE,800-279-6620,86.38,GBP,1.00
02/05/17,03/05/17,25.67,AMAZON UK MARKETPLACE,800-279-6620,25.67,GBP,1.00
05/04/17,06/04/17,192.78,SAINSBURYS TO YOU 0444,ENFIELD,192.78,GBP,1.00
05/04/17,06/04/17,-2.05,SAINSBURYS TO YOU 0444,ENFIELD,-2.05,GBP,1.00
06/04/17,07/04/17,74.30,ASDA SUPERSTORE,S'GATE CIRCUS,74.30,GBP,1.00
13/04/17,14/04/17,9.90,SAINSBURYS 0513,NTH FINCHLEY,9.90,GBP,1.00
13/04/17,14/04/17,161.43,SAINSBURYS 0513,NTH FINCHLEY,161.43,GBP,1.00
17/04/17,18/04/17,207.30,SAINSBURYS TO YOU 0444,ENFIELD,207.30,GBP,1.00
20/04/17,21/04/17,63.03,ASDA SUPERSTORE,S'GATE CIRCUS,63.03,GBP,1.00
20/04/17,21/04/17,87.54,AMAZON UK MARKETPLACE,800-279-6620,87.54,GBP,1.00
22/04/17,24/04/17,30.94,AMAZON UK MARKETPLACE,800-279-6620,30.94,GBP,1.00
21/04/17,24/04/17,3.38,AMAZON UK MARKETPLACE,800-279-6620,3.38,GBP,1.00
21/04/17,24/04/17,280.50,WWW.EUREKADIRECT.CO.UK,INTERNET,280.50,GBP,1.00
20/04/17,24/04/17,39.58,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,39.58,GBP,1.00
24/04/17,25/04/17,123.39,ASDA SUPERSTORE,S'GATE CIRCUS,123.39,GBP,1.00
24/04/17,25/04/17,10.00,POST OFFICE COUNTER,LONDON,10.00,GBP,1.00
26/04/17,27/04/17,33.02,ASDA SUPERSTORE,S'GATE CIRCUS,33.02,GBP,1.00
27/04/17,28/04/17,20.00,SAINSBURYS,LONDON,20.00,GBP,1.00
28/04/17,01/05/17,40.60,SAINSBURYS 0513,NTH FINCHLEY,40.60,GBP,1.00
28/04/17,01/05/17,178.18,SAINSBURYS 0513,NTH FINCHLEY,178.18,GBP,1.00
01/05/17,02/05/17,151.48,SAINSBURYS TO YOU 0444,ENFIELD,151.48,GBP,1.00
20/04/17,21/04/17,195.00,LB BARNET PCN ATP,LONDON,195.00,GBP,1.00
20/04/17,21/04/17,195.00,LB BARNET PCN ATP,LONDON,195.00,GBP,1.00
20/04/17,21/04/17,195.00,LB BARNET PCN ATP,LONDON,195.00,GBP,1.00
20/04/17,21/04/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
20/04/17,21/04/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
19/04/17,21/04/17,193.00,AA VEHICLE INSPECTIONS,BASINGSTOKE,193.00,GBP,1.00
19/04/17,21/04/17,241.57,AA VEHICLE INSPECT INT,BASINGSTOKE,241.57,GBP,1.00
20/04/17,24/04/17,195.00,LONDON BOROUGH OF HARR,HARROW,195.00,GBP,1.00
20/04/17,24/04/17,195.00,LONDON BOROUGH OF HARR,HARROW,195.00,GBP,1.00
20/04/17,24/04/17,195.00,LONDON BOROUGH OF HARR,HARROW,195.00,GBP,1.00
20/04/17,24/04/17,195.00,LONDON BOROUGH OF HARR,HARROW,195.00,GBP,1.00
25/04/17,26/04/17,805.00,POST OFFICE COUNTER,LONDON,805.00,GBP,1.00
25/04/17,27/04/17,254.00,AA VEHICLE INSPECTIONS,BASINGSTOKE,254.00,GBP,1.00
25/04/17,27/04/17,254.00,AA VEHICLE INSPECTIONS,BASINGSTOKE,254.00,GBP,1.00
25/04/17,27/04/17,-193.00,AA VEHICLE INSPECTIONS,BASINGSTOKE,-193.00,GBP,1.00
26/04/17,28/04/17,-241.57,AA VEHICLE INSPECT INT,BASINGSTOKE,-241.57,GBP,1.00
18/04/17,19/04/17,26.88,POST OFFICE COUNTER,EDGWARE,26.88,GBP,1.00
18/04/17,19/04/17,6.30,TESCO STORES 5655,EDGWARE,6.30,GBP,1.00
27/04/17,28/04/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
30/04/17,01/05/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
28/04/17,01/05/17,4.00,POUNDLAND LTD 1181,EDGWARE,4.00,GBP,1.00
01/04/17,04/04/17,5.00,CREATESEND/COM,SYDNEY,5.00,GBP,1.00
04/04/17,05/04/17,17.00,CREATESEND/COM,SYDNEY,17.00,GBP,1.00
06/04/17,07/04/17,4.95,RECIPERO,RECIPERO,4.95,GBP,1.00
18/04/17,19/04/17,100.00,EB  NATIONAL AMHP LEAD,801-413-7200,100.00,GBP,1.00
19/04/17,20/04/17,5.70,AMAZON UK MARKETPLACE,800-279-6620,5.70,GBP,1.00
19/04/17,20/04/17,33.06,AMAZON UK MARKETPLACE,800-279-6620,33.06,GBP,1.00
19/04/17,20/04/17,8.20,WAITROSE 124,WHETSTONE,8.20,GBP,1.00
20/04/17,21/04/17,2.47,AMAZON UK MARKETPLACE,800-279-6620,2.47,GBP,1.00
19/04/17,21/04/17,35.95,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,35.95,GBP,1.00
01/05/17,02/05/17,5.00,CREATESEND/COM,SYDNEY,5.00,GBP,1.00
08/04/17,10/04/17,20.00,OYSTER BUS AUTOTOP,0343 2221234,20.00,GBP,1.00
06/04/17,07/04/17,116.39,WWW.NISBETS.COM,0845 1110281,116.39,GBP,1.00
18/04/17,19/04/17,118.46,TESCO STORES 6440,LONDON EN8,118.46,GBP,1.00
24/04/17,25/04/17,188.63,TESCO STORES 6440,LONDON EN8,188.63,GBP,1.00
02/05/17,03/05/17,111.79,TESCO STORES 6440,LONDON EN8,111.79,GBP,1.00
06/04/17,07/04/17,174.00,HMCOURTS-SERVICE.G,0845940111,174.00,GBP,1.00
19/04/17,20/04/17,"2,799.00",HMCOURTS-SERVICE.G,08459400111,"2,799.00",GBP,1.00
24/04/17,25/04/17,245.00,HMCOURTS-SERVICE.G,0845940111,245.00,GBP,1.00
24/04/17,25/04/17,"1,225.00",HMCOURTS-SERVICE.G,0845940111,"1,225.00",GBP,1.00
28/04/17,01/05/17,159.00,HMCOURTS-SERVICE.G,08459400111,159.00,GBP,1.00
05/04/17,07/04/17,127.98,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,127.98,GBP,1.00
24/04/17,25/04/17,20.00,OYSTER AUTOSETTLE,0343 2221234,20.00,GBP,1.00
26/04/17,27/04/17,40.00,OYSTER BUS AUTOTOP,0343 2221234,40.00,GBP,1.00
07/04/17,10/04/17,41.44,ARGOS RETAIL GROUP,INTERNET,41.44,GBP,1.00
07/04/17,10/04/17,159.99,ARGOS RETAIL GROUP,INTERNET,159.99,GBP,1.00
10/04/17,11/04/17,458.00,CRAZY DISCOUNTS,LONDON  N12,458.00,GBP,1.00
13/04/17,14/04/17,45.88,ARGOS RETAIL GROUP,INTERNET,45.88,GBP,1.00
12/04/17,14/04/17,181.34,WWW.ARGOS.CO.UK,INTERNET,181.34,GBP,1.00
19/04/17,20/04/17,149.99,CURRYS ONLINE,HEMEL HEMPSTE,149.99,GBP,1.00
19/04/17,20/04/17,114.82,ARGOS RETAIL GROUP,INTERNET,114.82,GBP,1.00
02/05/17,03/05/17,81.90,ARGOS RETAIL GROUP,INTERNET,81.90,GBP,1.00
04/04/17,05/04/17,6.00,TESCO DELIVERY SAVER2,01707298000,6.00,GBP,1.00
10/04/17,11/04/17,22.00,POUNDLAND LTD,WILLENHALL,22.00,GBP,1.00
19/04/17,20/04/17,155.97,AMAZON UK MARKETPLACE,800-279-6620,155.97,GBP,1.00
19/04/17,20/04/17,74.98,AMAZON UK MARKETPLACE,800-279-6620,74.98,GBP,1.00
05/04/17,06/04/17,1.87,WESTMINSTER PARKING,LONDON,1.87,GBP,1.00
05/04/17,06/04/17,5.85,EAT,LONDON  EC1N,5.85,GBP,1.00
05/04/17,06/04/17,2.40,LB CAMDEN PARKING,CAMDEN,2.40,GBP,1.00
12/04/17,13/04/17,9.40,LB CAMDEN PARKING,CAMDEN,9.40,GBP,1.00
12/04/17,13/04/17,7.00,OASIS COFFEE SHOP,LONDON,7.00,GBP,1.00
18/04/17,19/04/17,17.00,A&Y LOCKSMITHS,BOREHAMWOOD W,17.00,GBP,1.00
26/04/17,27/04/17,59.50,ASDA GEORGE COM LEEDS,LEEDS,59.50,GBP,1.00
20/04/17,21/04/17,69.00,WWW.ISTOCK.COM,866-478-6251,69.00,GBP,1.00
20/04/17,21/04/17,132.00,WWW.ISTOCK.COM,866-478-6251,132.00,GBP,1.00
21/04/17,24/04/17,699.00,WWW.GETTYIMAGES.COM,0800-376-7977,699.00,GBP,1.00
12/04/17,13/04/17,10.95,KFC BARNET,BARNET,10.95,GBP,1.00
13/04/17,14/04/17,27.85,NEPTUNES,SOUTHEND-ON-S,27.85,GBP,1.00
13/04/17,14/04/17,34.00,ADVENTURE ISLAND,SOUTHEND ON S,34.00,GBP,1.00
13/04/17,14/04/17,40.40,LIVERPOOL STREET TICKE,LONDON,40.40,GBP,1.00
13/04/17,14/04/17,19.00,BABA CONFECTIONERY,LONDON,19.00,GBP,1.00
13/04/17,14/04/17,32.90,CAMPAIGNMONITOR,SYDNEY,40.00,USD,1.22
17/04/17,19/04/17,72.83,CAMPAIGNMONITOR,SYDNEY,89.00,USD,1.22
21/04/17,24/04/17,39.53,CAMPAIGNMONITOR,SYDNEY,49.00,USD,1.24
03/04/17,04/04/17,30.00,HOLLOWAY PLASTICS LTD,WALSALL,30.00,GBP,1.00
04/04/17,05/04/17,329.99,LEGO EDUCATION,0080053465555,329.99,GBP,1.00
03/04/17,05/04/17,8.33,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,8.33,GBP,1.00
05/04/17,06/04/17,9.98,AMAZON UK MARKETPLACE,800-279-6620,9.98,GBP,1.00
05/04/17,06/04/17,38.82,AMAZON UK MARKETPLACE,800-279-6620,38.82,GBP,1.00
05/04/17,06/04/17,27.49,AMAZON UK MARKETPLACE,800-279-6620,27.49,GBP,1.00
05/04/17,06/04/17,24.76,AMAZON UK MARKETPLACE,800-279-6620,24.76,GBP,1.00
05/04/17,06/04/17,8.97,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,8.97,GBP,1.00
05/04/17,06/04/17,5.30,AMAZON EU,AMAZON.CO.UK,5.30,GBP,1.00
05/04/17,06/04/17,6.27,AMAZON UK MARKETPLACE,800-279-6620,6.27,GBP,1.00
05/04/17,06/04/17,220.26,WWW.CARSUK.ORG,INTERNET,220.26,GBP,1.00
06/04/17,07/04/17,23.99,AMAZON UK MARKETPLACE,800-279-6620,23.99,GBP,1.00
06/04/17,07/04/17,15.20,AMAZON UK MARKETPLACE,800-279-6620,15.20,GBP,1.00
06/04/17,07/04/17,6.43,AMAZON UK MARKETPLACE,800-279-6620,6.43,GBP,1.00
05/04/17,07/04/17,59.22,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,59.22,GBP,1.00
06/04/17,10/04/17,10.28,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,10.28,GBP,1.00
06/04/17,10/04/17,9.00,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.00,GBP,1.00
10/04/17,11/04/17,9.81,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,9.81,GBP,1.00
10/04/17,11/04/17,5.99,AMAZON UK MARKETPLACE,800-279-6620,5.99,GBP,1.00
11/04/17,12/04/17,240.00,BROADCAST RADIO LTD,441482350700,240.00,GBP,1.00
10/04/17,12/04/17,324.36,ENVIRO WASTE LONDON LT,02085565056,324.36,GBP,1.00
24/04/17,25/04/17,1.50,L B BARNET PARKING,LONDON,1.50,GBP,1.00
25/04/17,26/04/17,96.64,TESCO STORE 2122,BRENT PARK,96.64,GBP,1.00
03/04/17,04/04/17,129.88,AMAZON UK MARKETPLACE,800-279-6620,129.88,GBP,1.00
03/04/17,04/04/17,42.98,AMAZON UK MARKETPLACE,800-279-6620,42.98,GBP,1.00
04/04/17,05/04/17,27.18,ARGOS RETAIL GROUP,INTERNET,27.18,GBP,1.00
04/04/17,05/04/17,69.99,AMAZON UK MARKETPLACE,800-279-6620,69.99,GBP,1.00
04/04/17,05/04/17,278.94,ARGOS RETAIL GROUP,INTERNET,278.94,GBP,1.00
05/04/17,06/04/17,455.87,CARPETRIGHT,COLINDALE,455.87,GBP,1.00
06/04/17,07/04/17,96.89,WWW.ARGOS.CO.UK,INTERNET,96.89,GBP,1.00
21/04/17,24/04/17,160.00,BRITISH HEART,FINCHLEY,160.00,GBP,1.00
26/04/17,27/04/17,23.40,GRO HM PASSPORT OFFICE,SOUTHPORT,23.40,GBP,1.00
02/05/17,03/05/17,364.99,CURRYS ONLINE,HEMEL HEMPSTE,364.99,GBP,1.00
10/04/17,11/04/17,127.75,SAINSBURYS 0513,NTH FINCHLEY,127.75,GBP,1.00
10/04/17,11/04/17,92.00,SAINSBURYS 0513,NTH FINCHLEY,92.00,GBP,1.00
21/04/17,24/04/17,137.02,SAINSBURYS 0513,NTH FINCHLEY,137.02,GBP,1.00
21/04/17,24/04/17,32.07,SAINSBURYS 0513,NTH FINCHLEY,32.07,GBP,1.00
25/04/17,26/04/17,13.00,TESCO STORE 2296,COLNEY HATCH,13.00,GBP,1.00
25/04/17,26/04/17,51.17,TESCO STORE 2296,COLNEY HATCH,51.17,GBP,1.00
